[Rank 1] Step 0, Loss: 0.7578
[Rank 1] Step 1, Loss: 0.7999
[Rank 1] Step 2, Loss: 0.8032
[Rank 1] Step 3, Loss: 0.6817
[Rank 1] Step 4, Loss: 0.7121
[Rank 1] Step 5, Loss: 0.7428
[Rank 1] Step 6, Loss: 0.6742
[Rank 1] Step 7, Loss: 0.7115
[Rank 1] Step 8, Loss: 0.6660
[Rank 1] Step 9, Loss: 0.7458
[Rank 1] Step 10, Loss: 0.6508
[Rank 1] Step 11, Loss: 0.6464
[Rank 1] Step 12, Loss: 0.7096
[Rank 1] Step 13, Loss: 0.6649
[Rank 1] Step 14, Loss: 0.7596
[Rank 1] Step 15, Loss: 0.7226
[Rank 1] Step 16, Loss: 0.6978
[Rank 1] Step 17, Loss: 0.6610
[Rank 1] Step 18, Loss: 0.7110
[Rank 1] Step 19, Loss: 0.6817
[Rank 1] Step 20, Loss: 0.6701
[Rank 1] Step 21, Loss: 0.6924
[Rank 1] Step 22, Loss: 0.7301
[Rank 1] Step 23, Loss: 0.6514
[Rank 1] Step 24, Loss: 0.6761
[Rank 1] Step 25, Loss: 0.7184
[Rank 1] Step 26, Loss: 0.6665
[Rank 1] Step 27, Loss: 0.6652
[Rank 1] Step 28, Loss: 0.6541
[Rank 1] Step 29, Loss: 0.6713
[Rank 1] Step 30, Loss: 0.6538
[Rank 1] Step 31, Loss: 0.6563
[Rank 1] Step 32, Loss: 0.7468
[Rank 1] Step 33, Loss: 0.6790
[Rank 1] Step 34, Loss: 0.7232
[Rank 1] Step 35, Loss: 0.7204
[Rank 1] Step 36, Loss: 0.6678
[Rank 1] Step 37, Loss: 0.6756
[Rank 1] Step 38, Loss: 0.6382
[Rank 1] Avg time per iter (excluding first): 1.7189s over 38 iters
