[Rank 1] Step 0, Loss: 0.7569
[Rank 1] Step 1, Loss: 0.8040
[Rank 1] Step 2, Loss: 0.7910
[Rank 1] Step 3, Loss: 0.7958
[Rank 1] Step 4, Loss: 0.7308
[Rank 1] Step 5, Loss: 0.6794
[Rank 1] Step 6, Loss: 0.7127
[Rank 1] Step 7, Loss: 0.6377
[Rank 1] Step 8, Loss: 0.6604
[Rank 1] Step 9, Loss: 0.7379
[Rank 1] Step 10, Loss: 0.6780
[Rank 1] Step 11, Loss: 0.6715
[Rank 1] Step 12, Loss: 0.7103
[Rank 1] Step 13, Loss: 0.6610
[Rank 1] Step 14, Loss: 0.7109
[Rank 1] Step 15, Loss: 0.7079
[Rank 1] Step 16, Loss: 0.6812
[Rank 1] Step 17, Loss: 0.6502
[Rank 1] Step 18, Loss: 0.6979
[Rank 1] Step 19, Loss: 0.6612
[Rank 1] Step 20, Loss: 0.6910
[Rank 1] Step 21, Loss: 0.6831
[Rank 1] Step 22, Loss: 0.6996
[Rank 1] Step 23, Loss: 0.6743
[Rank 1] Step 24, Loss: 0.7043
[Rank 1] Step 25, Loss: 0.6671
[Rank 1] Step 26, Loss: 0.6894
[Rank 1] Step 27, Loss: 0.6713
[Rank 1] Step 28, Loss: 0.6437
[Rank 1] Step 29, Loss: 0.6381
[Rank 1] Step 30, Loss: 0.6756
[Rank 1] Step 31, Loss: 0.6845
[Rank 1] Step 32, Loss: 0.7159
[Rank 1] Step 33, Loss: 0.6840
[Rank 1] Step 34, Loss: 0.6832
[Rank 1] Step 35, Loss: 0.6997
[Rank 1] Step 36, Loss: 0.7220
[Rank 1] Step 37, Loss: 0.7342
[Rank 1] Step 38, Loss: 0.6235
[Rank 1] Avg time per iter (excluding first): 32.7193s over 38 iters
