[Rank 3] Step 0, Loss: 0.7837
[Rank 3] Step 1, Loss: 0.6490
[Rank 3] Step 2, Loss: 0.6627
[Rank 3] Step 3, Loss: 0.7930
[Rank 3] Step 4, Loss: 0.7571
[Rank 3] Step 5, Loss: 0.6893
[Rank 3] Step 6, Loss: 0.7894
[Rank 3] Step 7, Loss: 0.7109
[Rank 3] Step 8, Loss: 0.7464
[Rank 3] Step 9, Loss: 0.7841
[Rank 3] Step 10, Loss: 0.7296
[Rank 3] Step 11, Loss: 0.6750
[Rank 3] Step 12, Loss: 0.6749
[Rank 3] Step 13, Loss: 0.6772
[Rank 3] Step 14, Loss: 0.6922
[Rank 3] Step 15, Loss: 0.7348
[Rank 3] Step 16, Loss: 0.6947
[Rank 3] Step 17, Loss: 0.6302
[Rank 3] Step 18, Loss: 0.6695
[Rank 3] Step 19, Loss: 0.6507
[Rank 3] Step 20, Loss: 0.6841
[Rank 3] Step 21, Loss: 0.6880
[Rank 3] Step 22, Loss: 0.6867
[Rank 3] Step 23, Loss: 0.6966
[Rank 3] Step 24, Loss: 0.7106
[Rank 3] Step 25, Loss: 0.7018
[Rank 3] Step 26, Loss: 0.6962
[Rank 3] Step 27, Loss: 0.6810
[Rank 3] Step 28, Loss: 0.6572
[Rank 3] Step 29, Loss: 0.7007
[Rank 3] Step 30, Loss: 0.6933
[Rank 3] Step 31, Loss: 0.7035
[Rank 3] Step 32, Loss: 0.6854
[Rank 3] Step 33, Loss: 0.6899
[Rank 3] Step 34, Loss: 0.6694
[Rank 3] Step 35, Loss: 0.6975
[Rank 3] Step 36, Loss: 0.6919
[Rank 3] Step 37, Loss: 0.7303
[Rank 3] Step 38, Loss: 0.6621
[Rank 3] Avg time per iter (excluding first): 32.7196s over 38 iters
