[Rank 0] Step 1, Loss: 0.7052
[Rank 0] Step 2, Loss: 0.7476
[Rank 0] Step 3, Loss: 0.7166
[Rank 0] Step 4, Loss: 0.7376
[Rank 0] Step 5, Loss: 0.7047
[Rank 0] Step 6, Loss: 0.6317
[Rank 0] Step 7, Loss: 0.7068
[Rank 0] Step 8, Loss: 0.6620
[Rank 0] Step 9, Loss: 0.6966
[Rank 0] Step 10, Loss: 0.7144
[Rank 0] Step 11, Loss: 0.6823
[Rank 0] Step 12, Loss: 0.6623
[Rank 0] Step 13, Loss: 0.7289
[Rank 0] Step 14, Loss: 0.7198
[Rank 0] Step 15, Loss: 0.6993
[Rank 0] Step 16, Loss: 0.6596
[Rank 0] Step 17, Loss: 0.6782
[Rank 0] Step 18, Loss: 0.6588
[Rank 0] Step 19, Loss: 0.7076
[Rank 0] Step 20, Loss: 0.7166
[Rank 0] Step 21, Loss: 0.6952
[Rank 0] Step 22, Loss: 0.6854
[Rank 0] Step 23, Loss: 0.6891
[Rank 0] Step 24, Loss: 0.7062
[Rank 0] Step 25, Loss: 0.6710
[Rank 0] Step 26, Loss: 0.7021
[Rank 0] Step 27, Loss: 0.6366
[Rank 0] Step 28, Loss: 0.6948
[Rank 0] Step 29, Loss: 0.7107
[Rank 0] Step 30, Loss: 0.7479
[Rank 0] Step 31, Loss: 0.7230
[Rank 0] Step 32, Loss: 0.6558
[Rank 0] Step 33, Loss: 0.6955
[Rank 0] Step 34, Loss: 0.6691
[Rank 0] Step 35, Loss: 0.6971
[Rank 0] Step 36, Loss: 0.6686
[Rank 0] Step 37, Loss: 0.7623
[Rank 0] Step 38, Loss: 0.6652
[Rank 0] Avg time per iter (excluding first): 32.7191s over 38 iters
